,userid,time_stamp,adgroup_id,pid,nonclk,clk,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level ,cate_id,campaign_id,customer,brand,price,hist_cate_id,hist_adgroup_id
6790496,329929,1494655405,498996,430548_1007,1,0,0,11,1,5,,3,0,4.0,4617,311920,154861,405012.0,1.5989999724297377e-07,4617,498996
15627981,431349,1494670334,612879,430548_1007,1,0,0,5,2,5,,1,0,,4283,395286,5394,117096.0,8.988999979919754e-07,4283,612879
530816,782462,1494201255,625554,430548_1007,1,0,26,4,2,4,2.0,2,0,2.0,6554,147285,157156,,9.179000244330382e-07,6554,625554
303293,294899,1494423031,710164,430548_1007,1,0,0,2,2,2,1.0,3,0,,1665,405490,60305,,1.0898999107666896e-06,1665,710164
5897601,1089728,1494207857,762628,430548_1007,1,0,0,9,1,3,,3,0,2.0,1665,346317,1385,,3.9598999137524515e-06,1665,762628
6636688,379438,1494162590,459200,430539_1007,1,0,0,4,2,4,,3,0,1.0,6261,356708,188984,,1.2898999557364732e-06,6261,459200
11350021,913595,1494254869,276887,430539_1007,1,0,68,9,1,3,3.0,3,0,2.0,12902,76677,137156,81499.0,2.759899871307425e-06,12902,276887
5544382,1099572,1494366540,677937,430548_1007,1,0,2,1,2,1,1.0,3,0,2.0,6432,164819,116647,358159.0,1.6798999240563717e-06,6432,677937
23172481,839646,1494404683,263225,430548_1007,1,0,0,3,2,3,2.0,3,0,,6422,313289,57610,98795.0,5.159899956197478e-06,6422,263225
5244354,118379,1494041541,235908,430539_1007,1,0,46,5,2,5,3.0,3,0,2.0,8113,146097,35131,282221.0,1.6898999319892027e-06,8113,235908
11387193,125323,1494326843,559175,430548_1007,1,0,17,3,2,3,1.0,3,0,4.0,6261,351319,11888,82463.0,1.2198999002066557e-06,6261,559175
21079049,37817,1494304879,412995,430548_1007,1,0,34,4,2,4,2.0,3,0,3.0,6177,244583,217787,,2.778999999009102e-07,6177,412995
15192489,1043380,1494136903,147800,430548_1007,1,0,0,10,1,4,,3,0,4.0,7267,252217,222737,337131.0,1.819000061686893e-07,7267,147800
7341502,613041,1494559246,509173,430548_1007,1,0,0,3,2,3,,3,0,4.0,4292,247783,33861,163312.0,2.5798999558901414e-06,4292,509173
18833161,1063860,1494172290,596332,430539_1007,1,0,0,4,2,4,,3,0,,6554,338666,252434,181325.0,4.7589998075636686e-07,6554,596332
16351845,1102824,1494397992,552370,430548_1007,1,0,0,7,1,1,,3,0,,4824,72668,114975,201339.0,5.899000257159059e-07,4824,552370
2077228,1082214,1494080167,628303,430548_1007,1,0,33,4,2,4,2.0,3,0,2.0,4292,411694,56049,224894.0,1.6998999399220338e-06,4292,628303
6297989,356708,1494460787,730517,430548_1007,1,0,89,11,1,5,1.0,3,0,4.0,4281,410072,64881,,1.6498999002578785e-06,4281,730517
23637644,716346,1494548604,772064,430539_1007,1,0,18,3,2,3,2.0,3,0,1.0,6519,396571,34490,459598.0,1.5798999584148987e-06,6519,772064
22816273,253764,1494571871,261445,430539_1007,1,0,80,10,1,4,2.0,3,0,2.0,6453,869,77149,187706.0,1.379899913445115e-06,6453,261445
18239808,195826,1494245763,233782,430539_1007,1,0,0,3,2,3,,3,0,3.0,4286,66925,112542,396929.0,5.159899956197478e-06,4286,233782
7266257,783332,1494430647,816792,430539_1007,1,0,0,12,1,6,,3,0,1.0,4520,172900,191830,,1.9798999346676283e-06,4520,816792
23129059,978320,1494598329,768562,430539_1007,1,0,77,10,1,4,1.0,3,0,1.0,6142,154027,180002,,1.9798999346676283e-06,6142,768562
3224150,93767,1494506415,775334,430539_1007,1,0,0,2,2,2,2.0,3,0,,4281,282035,28529,,1.7598999875190202e-06,4281,775334
9822773,60193,1494423737,478180,430539_1007,1,0,0,5,2,5,,3,0,3.0,6281,126645,4532,56231.0,2.5798999558901414e-06,6281,478180
2356466,246591,1494665203,283425,430548_1007,1,0,16,3,2,3,1.0,3,0,2.0,841,14524,85400,454216.0,2.179899865950574e-06,841,283425
22061009,1128616,1494686180,638048,430548_1007,1,0,89,11,1,5,1.0,3,0,3.0,4283,248652,58396,,4.3990002041027765e-07,4283,638048
24582236,469812,1494485207,668938,430548_1007,1,0,95,12,1,6,2.0,2,0,,5026,86492,142570,311242.0,3.1990001048143313e-07,5026,668938
21350234,114842,1494118969,667180,430548_1007,0,1,0,8,1,2,,3,0,3.0,6341,76394,76617,110180.0,2.789900008792756e-06,6341,667180
17215130,162589,1494514684,6357,430548_1007,1,0,0,10,1,4,,3,0,1.0,4532,125853,4230,457603.0,5.890000309705101e-08,4532,6357
4098249,153909,1494458728,777600,430539_1007,1,0,81,10,1,4,2.0,3,0,4.0,6183,229861,183490,39.0,7.899000138422707e-07,6183,777600
13389708,892993,1494663785,418806,430539_1007,1,0,0,2,2,2,,3,0,1.0,562,114939,120938,,1.3790000252811296e-07,562,418806
4875314,283023,1494135388,652514,430539_1007,1,0,0,9,1,3,2.0,3,0,,562,211294,124191,283597.0,7.799000059094396e-07,562,652514
20269590,4500,1494492637,657680,430539_1007,1,0,21,3,2,3,3.0,3,0,2.0,6407,143012,177173,208672.0,2.879899966501398e-06,6407,657680
11077918,376279,1494577040,128920,430548_1007,1,0,0,4,2,4,,3,0,,856,196502,28781,65224.0,9.998999530580477e-07,856,128920
21767104,731884,1494134611,258960,430548_1007,1,0,8,2,2,2,2.0,3,0,3.0,4312,310554,234488,,3.999000171006628e-07,4312,258960
7121592,383833,1494468414,676114,430539_1007,1,0,0,10,1,4,1.0,3,0,,856,134040,14892,95766.0,1.1798999821621692e-06,856,676114
19175154,852597,1494083081,89699,430548_1007,1,0,8,2,2,2,1.0,3,0,3.0,562,95944,86467,,3.8990000916783174e-07,562,89699
7180547,438897,1494665809,462217,430548_1007,1,0,33,4,2,4,2.0,3,0,2.0,10810,239878,218223,141471.0,1.5798999584148987e-06,10810,462217
11301911,173787,1494568961,512474,430548_1007,1,0,20,3,2,3,2.0,3,0,3.0,5953,82414,25769,47538.0,3.7798999983351678e-06,5953,512474
984439,640487,1494132002,604381,430539_1007,1,0,0,2,2,2,2.0,3,0,,4281,386201,27731,235358.0,1.369899905512284e-06,4281,604381
10258199,232221,1494138593,68121,430548_1007,1,0,7,2,2,2,1.0,3,0,2.0,8060,138528,20292,319910.0,7.199000151558721e-07,8060,68121
5383910,27362,1494165660,765766,430548_1007,1,0,61,9,1,3,2.0,2,0,4.0,6519,219393,72865,,1.6798999240563717e-06,6519,765766
10514379,20927,1494491785,312110,430548_1007,1,0,20,3,2,3,2.0,3,0,3.0,11791,321232,65187,226148.0,1.959899918801966e-06,11791,312110
15263894,704696,1494642122,278315,430539_1007,0,1,5,2,2,2,2.0,3,1,1.0,6423,252780,529,154463.0,3.319899860798614e-06,6423,278315
18240121,1065563,1494605876,305038,430548_1007,1,0,45,5,2,5,2.0,3,0,3.0,6261,151220,144956,77862.0,3.7598999824695056e-06,6261,305038
6621905,1113511,1494636086,616786,430548_1007,1,0,0,3,2,3,,3,0,1.0,6261,148598,181403,,1.8798999690261553e-06,6261,616786
14505979,818666,1494384953,515642,430539_1007,1,0,8,2,2,2,2.0,3,0,3.0,4281,207670,26810,,8.898999794837437e-07,4281,515642
21714010,745918,1494156571,531605,430548_1007,1,0,0,10,1,4,,1,0,,6281,149894,145150,139991.0,2.5598999400244793e-06,6281,531605
22214158,122203,1494218955,79291,430539_1007,1,0,0,9,1,3,,3,0,2.0,541,108589,1341,136259.0,1.9798999346676283e-06,541,79291
14080206,915965,1494512965,150383,430548_1007,1,0,34,4,2,4,2.0,3,0,3.0,4541,179796,185305,386462.0,3.3599902963032946e-05,4541,150383
24434583,384414,1494048527,372646,430548_1007,1,0,0,1,2,1,,3,0,,6239,215505,174535,117196.0,8.299899491248652e-06,6239,372646
16550897,34719,1494682390,606420,430548_1007,0,1,0,10,1,4,,3,0,1.0,4282,392587,42955,,1.5898999663477298e-06,4282,606420
19473528,608519,1494351974,341256,430548_1007,1,0,7,2,2,2,1.0,3,0,2.0,4798,170512,53777,30908.0,2.4428500182693824e-05,4798,341256
2795012,1026736,1494165221,585732,430539_1007,1,0,0,4,2,4,,3,0,,6261,150897,65469,,3.979900156991789e-06,6261,585732
23533578,1131269,1494511409,620350,430548_1007,1,0,5,2,2,2,2.0,3,1,2.0,6923,319959,221286,403861.0,1.4998998949522502e-06,6923,620350
24253255,56008,1494260822,233109,430539_1007,1,0,7,2,2,2,2.0,3,0,2.0,1504,390398,44565,366642.0,1.4798999927734258e-06,1504,233109
16948872,568075,1494687967,208754,430539_1007,1,0,0,10,1,4,,3,0,2.0,686,58945,18723,335600.0,1.1989999393335893e-07,686,208754
11820933,104394,1494397775,812439,430548_1007,1,0,66,9,1,3,2.0,3,0,2.0,6427,99608,168870,293023.0,4.879899734078208e-06,6427,812439
2795262,377490,1494212262,585732,430539_1007,1,0,0,3,2,3,,3,0,,6261,150897,65469,,3.979900156991789e-06,6261,585732
20279953,594253,1494679633,509406,430548_1007,1,0,0,5,2,5,,3,0,3.0,4520,694,61813,394949.0,1.4798999927734258e-06,4520,509406
8115805,467965,1494679761,390711,430548_1007,0,1,0,11,1,5,,3,0,,6281,389238,15707,98931.0,9.799899999052286e-06,6281,390711
11110775,409373,1494513630,646152,430548_1007,1,0,0,10,1,4,2.0,3,0,,6735,113462,108929,181872.0,6.989899702602997e-06,6735,646152
6564456,829038,1494340129,601582,430539_1007,1,0,0,10,1,4,,3,0,2.0,6183,149685,76590,181646.0,9.798999371923856e-07,6183,601582
3427818,867863,1494285610,356565,430548_1007,1,0,20,3,2,3,2.0,3,0,4.0,8056,83227,148451,116790.0,9.798999371923856e-07,8056,356565
13502054,782044,1494418230,563146,430539_1007,1,0,0,11,1,5,,3,0,2.0,37,354730,251189,405752.0,2.8989899874432012e-05,37,563146
17008033,994496,1494157651,404375,430539_1007,1,0,0,4,2,4,,3,0,4.0,4285,75376,130704,238054.0,2.7998999030387495e-06,4285,404375
15344119,197278,1494256471,198878,430548_1007,1,0,17,3,2,3,1.0,3,0,3.0,6255,275957,134316,225176.0,1.1989999393335893e-07,6255,198878
4882875,186325,1494486116,500789,430548_1007,1,0,0,11,1,5,,2,0,,562,72305,142280,240411.0,5.799000177830749e-07,562,500789
10543337,694536,1494158895,292212,430548_1007,1,0,0,3,2,3,,3,0,,6250,318326,248525,68364.0,9.898999451252166e-07,6250,292212
24785485,406693,1494167646,389802,430548_1007,1,0,12,3,2,3,2.0,2,0,4.0,6143,393238,33395,16670.0,3.898990325978957e-05,6143,389802
10109765,817387,1494169313,684187,430548_1007,1,0,0,5,2,5,2.0,3,0,,1665,35652,117370,,3.9899000512377825e-06,1665,684187
16627853,358669,1494290774,65988,430539_1007,1,0,0,12,1,6,,2,0,,771,387215,41081,6712.0,7.959900358400773e-06,771,65988
9413174,340579,1494639803,688089,430548_1007,1,0,27,4,2,4,1.0,2,0,4.0,6261,20606,99429,123796.0,5.9898998188145924e-06,6261,688089
8821437,1067128,1494555529,576064,430548_1007,1,0,8,2,2,2,2.0,3,0,4.0,4288,123927,132719,302582.0,9.798999371923856e-07,4288,576064
22789843,846704,1494517066,231981,430539_1007,1,0,0,10,1,4,,3,0,2.0,9687,127817,174101,220468.0,9.199899977829773e-06,9687,231981
18440170,1059997,1494435479,824522,430548_1007,1,0,35,4,2,4,3.0,3,0,2.0,1665,155358,180279,319827.0,1.3389900232141372e-05,1665,824522
9349670,610249,1494296068,707097,430548_1007,1,0,45,5,2,5,3.0,3,0,4.0,4292,182687,148958,,1.7898998976306757e-06,4292,707097
681916,390932,1494425506,706720,430548_1007,1,0,0,4,2,4,,3,0,2.0,4282,135710,17967,390953.0,7.899000138422707e-07,4282,706720
21913525,1130221,1494039340,414119,430539_1007,1,0,0,4,2,4,,3,0,2.0,4545,386953,40799,209011.0,3.7798999983351678e-06,4545,414119
6154857,1009384,1494670173,807190,430539_1007,1,0,18,3,2,3,2.0,3,0,1.0,6519,24746,5810,261340.0,3.4898998819699045e-06,6519,807190
17717298,4500,1494317029,717336,430539_1007,1,0,21,3,2,3,3.0,3,0,2.0,5953,374898,23212,356999.0,1.719899955787696e-06,5953,717336
19293839,384414,1494254317,523181,430548_1007,1,0,0,1,2,1,,3,0,,6426,2646,79841,27733.0,3.9899000512377825e-06,6426,523181
22794044,390932,1494151064,183383,430548_1007,1,0,0,4,2,4,,3,0,2.0,4284,272562,220467,,1.6998999399220338e-06,4284,183383
11060535,4500,1494135298,515000,430539_1007,1,0,21,3,2,3,3.0,3,0,2.0,856,12711,90708,332777.0,1.8998999848918174e-06,856,515000
2766822,1036810,1494215349,553617,430539_1007,1,0,0,3,2,3,,3,0,2.0,6261,36308,124803,,5.879900072613964e-06,6261,553617
18324400,409373,1494579033,597692,430548_1007,1,0,0,10,1,4,2.0,3,0,,4281,77124,65233,,2.989899940075702e-06,4281,597692
20044279,728743,1494213607,508060,430539_1007,1,0,0,4,2,4,,3,0,2.0,4541,358947,190883,372532.0,1.3219900210970081e-05,4541,508060
12812890,782462,1494506486,710619,430548_1007,1,0,26,4,2,4,2.0,2,0,2.0,4282,193705,2161,302312.0,2.179899865950574e-06,4282,710619
12377773,1091685,1494561824,802456,430548_1007,1,0,8,2,2,2,1.0,3,0,3.0,4292,121413,28747,237710.0,2.4598998606961686e-06,4292,802456
21777915,852597,1494115898,317615,430548_1007,1,0,8,2,2,2,1.0,3,0,3.0,5467,55188,10565,318602.0,2.0989999427456496e-07,5467,317615
9347065,1089728,1494571775,590137,430548_1007,1,0,0,9,1,3,,3,0,2.0,6261,106487,169583,,9.499000270807301e-07,6261,590137
10105849,4500,1494479251,813252,430539_1007,1,0,21,3,2,3,3.0,3,0,2.0,1665,336971,220660,234846.0,1.989900056287297e-06,1665,813252
16254909,839646,1494174483,342160,430548_1007,1,0,0,3,2,3,2.0,3,0,,6422,16120,93338,221534.0,3.3998999242612626e-06,6422,342160
3682492,1009384,1494167644,158691,430539_1007,0,1,18,3,2,3,2.0,3,0,1.0,6525,390361,44522,,1.9798999346676283e-06,6525,158691
9059107,390932,1494199682,521741,430548_1007,1,0,0,4,2,4,,3,0,2.0,4385,357191,244463,253894.0,1.8898999769589864e-06,4385,521741
23868622,56008,1494209990,548333,430539_1007,1,0,7,2,2,2,2.0,3,0,2.0,1491,213751,91746,304825.0,9.898999451252166e-07,1491,548333
14195325,745918,1494061765,339122,430548_1007,1,0,0,10,1,4,,1,0,,6281,397754,49710,53128.0,5.289899945637444e-06,6281,339122
5675665,37817,1494358025,595955,430548_1007,1,0,34,4,2,4,2.0,3,0,3.0,862,191137,200342,188080.0,8.898999794837437e-07,862,595955
24570222,852597,1494083081,638924,430548_1007,1,0,8,2,2,2,1.0,3,0,3.0,562,174972,25704,262151.0,3.5990001379104797e-07,562,638924
23737187,783332,1494665404,656845,430539_1007,1,0,0,12,1,6,,3,0,1.0,4384,343176,209976,,9.499000270807301e-07,4384,656845
19143305,613041,1494546755,420248,430548_1007,1,0,0,3,2,3,,3,0,4.0,5539,408195,2743,62024.0,1.2898999557364732e-06,5539,420248
18395811,409373,1494578819,614251,430548_1007,1,0,0,10,1,4,2.0,3,0,,5953,6946,84290,234846.0,1.9798999346676283e-06,5953,614251
23957518,118379,1494127384,157926,430539_1007,1,0,46,5,2,5,3.0,3,0,2.0,10076,254152,185242,,5.1899998965154737e-08,10076,157926
19305598,782462,1494550064,159431,430548_1007,1,0,26,4,2,4,2.0,2,0,2.0,859,91144,132993,227849.0,9.899899851006921e-06,859,159431
21088506,1026736,1494021441,556565,430539_1007,1,0,0,4,2,4,,3,0,,4283,197447,141702,,1.7798998896978446e-06,4283,556565
15251614,1130221,1494657897,203171,430539_1007,1,0,0,4,2,4,,3,0,2.0,6857,129746,25842,114642.0,8.989899470179807e-06,6857,203171
2206096,409373,1494598407,713881,430548_1007,1,0,0,10,1,4,2.0,3,0,,1665,301752,211884,234846.0,6.719899829477072e-06,1665,713881
3742291,153909,1494053043,236336,430539_1007,1,0,81,10,1,4,2.0,3,0,4.0,822,162311,163007,142526.0,5.449900072562741e-06,822,236336
13320585,409373,1494311684,512238,430548_1007,1,0,0,10,1,4,2.0,3,0,,6261,309165,174062,144123.0,7.97990014689276e-06,6261,512238
7147875,1067128,1494065528,604949,430548_1007,1,0,8,2,2,2,2.0,3,0,4.0,4281,361020,13787,,1.1198999345651828e-06,4281,604949
7364670,1091685,1494233043,600384,430548_1007,1,0,8,2,2,2,1.0,3,0,3.0,6407,43731,76763,192767.0,3.1598999612469925e-06,6407,600384
19444752,1089728,1494073265,585688,430548_1007,1,0,0,9,1,3,,3,0,2.0,6426,353660,61732,452596.0,3.4498998502385803e-06,6426,585688
12775266,782044,1494339603,88796,430539_1007,1,0,0,11,1,5,,3,0,2.0,6456,396692,46273,183644.0,2.1990000220739603e-07,6456,88796
20537052,783332,1494600753,369064,430539_1007,1,0,0,12,1,6,,3,0,1.0,6139,248539,8614,282847.0,3.679899919006857e-06,6139,369064
14203620,978320,1494339931,182383,430539_1007,1,0,77,10,1,4,1.0,3,0,1.0,6142,170880,45584,59233.0,1.9798999346676283e-06,6142,182383
18864540,118379,1494044136,566080,430539_1007,1,0,46,5,2,5,3.0,3,0,2.0,1166,358075,232488,250070.0,6.798999834245478e-07,1166,566080
21711025,913595,1494142371,227421,430539_1007,1,0,68,9,1,3,3.0,3,0,2.0,10062,95424,53567,35542.0,4.3799900595331565e-05,10062,227421
22792702,390932,1494169676,535932,430548_1007,1,0,0,4,2,4,,3,0,2.0,4505,298470,224665,344004.0,1.149899958363676e-06,4505,535932
9166190,390932,1494112042,436034,430548_1007,1,0,0,4,2,4,,3,0,2.0,4284,415602,24642,423991.0,7.799000059094396e-07,4284,436034
17343190,469812,1494500303,92503,430548_1007,0,1,95,12,1,6,2.0,2,0,,4879,65900,145491,,1.729899963720527e-06,4879,92503
9772531,783332,1494336253,60020,430539_1007,0,1,0,12,1,6,,3,0,1.0,6967,89728,115018,417919.0,1.1998999980278313e-06,6967,60020
17372623,782462,1494201255,384982,430548_1007,1,0,26,4,2,4,2.0,2,0,2.0,731,207970,205522,60298.0,2.879899966501398e-06,731,384982
23694597,1076981,1494418237,471404,430548_1007,1,0,80,10,1,4,2.0,3,0,2.0,6511,89893,225,445005.0,5.398999860517506e-07,6511,471404
21445841,377490,1494122585,758384,430539_1007,1,0,0,3,2,3,,3,0,,6806,224028,178242,,3.679899919006857e-06,6806,758384
3463619,503986,1494391855,414821,430548_1007,1,0,16,3,2,3,1.0,3,0,2.0,1133,337972,150069,315363.0,1.5098999028850812e-06,1133,414821
3334498,1067128,1494032560,735990,430548_1007,1,0,8,2,2,2,2.0,3,0,4.0,4520,71945,64962,316509.0,1.9798999346676283e-06,4520,735990
22793284,390932,1494163041,252952,430548_1007,1,0,0,4,2,4,,3,0,2.0,5139,307951,122141,210220.0,1.149990021076519e-05,5139,252952
16552752,913595,1494686915,119451,430539_1007,1,0,68,9,1,3,3.0,3,0,2.0,5467,8568,39380,318602.0,1.4899000007062568e-06,5467,119451
6367915,37817,1494395663,661618,430548_1007,1,0,34,4,2,4,2.0,3,0,3.0,6059,362597,64108,,3.879899850289803e-06,6059,661618
19166840,1076981,1494122464,813044,430548_1007,1,0,80,10,1,4,2.0,3,0,2.0,384,54817,136258,21428.0,3.979900156991789e-06,384,813044
21092389,390932,1494592119,428780,430548_1007,1,0,0,4,2,4,,3,0,2.0,4282,233014,33942,,2.9799000458297087e-06,4282,428780
14095583,1076981,1494508811,777209,430548_1007,1,0,80,10,1,4,2.0,3,0,2.0,6185,216754,29338,,4.798999952981831e-07,6185,777209
15908970,186325,1494214393,717256,430548_1007,1,0,0,11,1,5,,2,0,,562,65700,147681,,3.499000058582169e-07,562,717256
9078430,122203,1494478686,792791,430539_1007,1,0,0,9,1,3,,3,0,2.0,4385,118373,234717,183871.0,2.989899940075702e-06,4385,792791
13222746,852597,1494311353,785483,430548_1007,1,0,8,2,2,2,1.0,3,0,3.0,6261,129474,174747,,5.289000455377391e-07,6261,785483
11903917,728743,1494017376,320975,430539_1007,1,0,0,4,2,4,,3,0,2.0,4282,411586,52301,,1.379899913445115e-06,4282,320975
9248873,1067128,1494481110,639002,430548_1007,1,0,8,2,2,2,2.0,3,0,4.0,6261,5337,75534,454237.0,2.279899945278885e-06,6261,639002
15222378,377490,1494308708,512967,430539_1007,1,0,0,3,2,3,,3,0,,6300,1978,48703,180357.0,2.389899918853189e-06,6300,512967
21192191,390932,1494238706,809189,430548_1007,1,0,0,4,2,4,,3,0,2.0,7146,120960,141665,290810.0,6.898999913573789e-07,7146,809189
15232927,390932,1494110312,768160,430548_1007,1,0,0,4,2,4,,3,0,2.0,2628,376778,152958,239638.0,1.9798999346676283e-06,2628,768160
987280,390932,1494651920,633388,430548_1007,1,0,0,4,2,4,,3,0,2.0,562,92467,147671,,3.279000111433561e-07,562,633388
18695813,782462,1494504445,691745,430548_1007,1,0,26,4,2,4,2.0,2,0,2.0,5869,347119,33406,270248.0,5.989000442241377e-07,5869,691745
21321944,118379,1494083165,585005,430539_1007,1,0,46,5,2,5,3.0,3,0,2.0,5539,151294,109073,390697.0,1.049899992722203e-06,5539,585005
13618689,376279,1494207605,419810,430548_1007,1,0,0,4,2,4,,3,0,,7214,47187,14057,,1.8899999787436172e-08,7214,419810
17835331,782462,1494568023,309959,430548_1007,1,0,26,4,2,4,2.0,2,0,2.0,2146,330269,205687,247197.0,4.798999952981831e-07,2146,309959
7488259,232221,1494506209,539494,430548_1007,1,0,7,2,2,2,1.0,3,0,2.0,4280,396664,51181,143597.0,4.3790001313936955e-07,4280,539494
19846472,390932,1494685548,305186,430548_1007,1,0,0,4,2,4,,3,0,2.0,4505,122902,140055,91166.0,3.1798999771126546e-06,4505,305186
2296697,173787,1494382061,264204,430548_1007,1,0,20,3,2,3,2.0,3,0,3.0,4279,38182,119825,161973.0,4.4898997657583095e-06,4279,264204
10549615,1067128,1494586828,613956,430548_1007,1,0,8,2,2,2,2.0,3,0,4.0,6300,240416,216454,,1.9798999346676283e-06,6300,613956
7433462,390932,1494660629,366514,430548_1007,1,0,0,4,2,4,,3,0,2.0,4292,223511,125321,,1.6798999240563717e-06,4292,366514
12813835,153909,1494250881,783712,430539_1007,1,0,81,10,1,4,2.0,3,0,4.0,4282,119227,132134,126773.0,1.8898999769589864e-06,4282,783712
13970125,994496,1494159701,463222,430539_1007,1,0,0,4,2,4,,3,0,4.0,4791,308125,244733,359674.0,3.5990001379104797e-07,4791,463222
7264139,1067128,1494477660,726115,430548_1007,1,0,8,2,2,2,2.0,3,0,4.0,4520,295262,242604,,1.9798999346676283e-06,4520,726115
12911399,1102430,1494336360,772879,430548_1007,1,0,2,1,2,1,1.0,3,0,4.0,4284,393313,47668,136767.0,8.318999675793748e-07,4284,772879
16078188,377490,1494387116,385325,430539_1007,1,0,0,3,2,3,,3,0,,6300,324956,250306,,1.9798999346676283e-06,6300,385325
12007769,37817,1494018515,591162,430548_1007,1,0,34,4,2,4,2.0,3,0,3.0,6426,179616,44911,,2.159899850084912e-06,6426,591162
3790907,37817,1494336877,565257,430548_1007,1,0,34,4,2,4,2.0,3,0,3.0,6554,36632,1475,39443.0,1.1198999345651828e-06,6554,565257
18254392,56008,1494432373,627505,430539_1007,1,0,7,2,2,2,2.0,3,0,2.0,4281,272900,86323,,7.899000138422707e-07,4281,627505
20410217,1102824,1494469327,831643,430548_1007,1,0,0,7,1,1,,3,0,,4824,72668,114975,201339.0,6.898999913573789e-07,4824,831643
6869885,1076981,1494489040,614813,430548_1007,1,0,80,10,1,4,2.0,3,0,2.0,6185,365381,147118,235372.0,2.879899966501398e-06,6185,614813
15327001,384414,1494242858,727467,430548_1007,1,0,0,1,2,1,,3,0,,4282,188406,75353,146115.0,3.999000171006628e-07,4282,727467
1402447,1067128,1494068854,698790,430548_1007,1,0,8,2,2,2,2.0,3,0,4.0,4520,42034,125231,,5.799000177830749e-07,4520,698790
5591327,613041,1494547240,765052,430548_1007,1,0,0,3,2,3,,3,0,4.0,4284,118601,28529,82527.0,1.5798999584148987e-06,4284,765052
57130,1091685,1494385830,548247,430548_1007,1,0,8,2,2,2,1.0,3,0,3.0,6421,57548,44810,424090.0,1.4899000007062568e-06,6421,548247
23935763,1076981,1494135479,716097,430548_1007,1,0,80,10,1,4,2.0,3,0,2.0,6512,350442,60525,,1.1798999821621692e-06,6512,716097
12526480,1076981,1494251089,583454,430548_1007,1,0,80,10,1,4,2.0,3,0,2.0,122,313160,236820,40852.0,2.1990000220739603e-07,122,583454
7080972,1076981,1494195116,546684,430548_1007,1,0,80,10,1,4,2.0,3,0,2.0,6181,350067,254360,,5.498999939845817e-07,6181,546684
